Date,Hour,Solar Radiation
2/19/24,7:00:00 PM,0
2/19/24,8:00:00 PM,0
2/19/24,9:00:00 PM,0
2/19/24,10:00:00 PM,0
2/19/24,11:00:00 PM,0
2/20/24,12:00:00 AM,0
2/20/24,1:00:00 AM,0
2/20/24,2:00:00 AM,0
2/20/24,3:00:00 AM,0
2/20/24,4:00:00 AM,0
2/20/24,5:00:00 AM,0
2/20/24,6:00:00 AM,3
2/20/24,7:00:00 AM,101
2/20/24,8:00:00 AM,282
2/20/24,9:00:00 AM,450
2/20/24,10:00:00 AM,580
2/20/24,11:00:00 AM,657
2/20/24,12:00:00 PM,674
2/20/24,1:00:00 PM,628
2/20/24,2:00:00 PM,524
2/20/24,3:00:00 PM,369
2/20/24,4:00:00 PM,184
2/20/24,5:00:00 PM,27
2/20/24,6:00:00 PM,0
2/20/24,7:00:00 PM,0
2/20/24,8:00:00 PM,0
2/20/24,9:00:00 PM,0
2/20/24,10:00:00 PM,0
2/20/24,11:00:00 PM,0
2/21/24,12:00:00 AM,0
2/21/24,1:00:00 AM,0
2/21/24,2:00:00 AM,0
2/21/24,3:00:00 AM,0
2/21/24,4:00:00 AM,0
2/21/24,5:00:00 AM,0
2/21/24,6:00:00 AM,2
2/21/24,7:00:00 AM,118
2/21/24,8:00:00 AM,289
2/21/24,9:00:00 AM,464
2/21/24,10:00:00 AM,546
2/21/24,11:00:00 AM,629
2/21/24,12:00:00 PM,687
2/21/24,1:00:00 PM,635
2/21/24,2:00:00 PM,531
2/21/24,3:00:00 PM,374
2/21/24,4:00:00 PM,191
2/21/24,5:00:00 PM,26
2/21/24,6:00:00 PM,0
2/21/24,7:00:00 PM,0
2/21/24,8:00:00 PM,0
2/21/24,9:00:00 PM,0
2/21/24,10:00:00 PM,0
2/21/24,11:00:00 PM,0
2/22/24,12:00:00 AM,0
2/22/24,1:00:00 AM,0
2/22/24,2:00:00 AM,0
2/22/24,3:00:00 AM,0
2/22/24,4:00:00 AM,0
2/22/24,5:00:00 AM,0
2/22/24,6:00:00 AM,3
2/22/24,7:00:00 AM,101
2/22/24,8:00:00 AM,290
2/22/24,9:00:00 AM,394
2/22/24,10:00:00 AM,567
2/22/24,11:00:00 AM,598
2/22/24,12:00:00 PM,352
2/22/24,1:00:00 PM,157
2/22/24,2:00:00 PM,152
2/22/24,3:00:00 PM,113
2/22/24,4:00:00 PM,53
2/22/24,5:00:00 PM,3
2/22/24,6:00:00 PM,0
2/22/24,7:00:00 PM,0
2/22/24,8:00:00 PM,0
2/22/24,9:00:00 PM,0
2/22/24,10:00:00 PM,0
2/22/24,11:00:00 PM,0
2/23/24,12:00:00 AM,0
2/23/24,1:00:00 AM,0
2/23/24,2:00:00 AM,0
2/23/24,3:00:00 AM,0
2/23/24,4:00:00 AM,0
2/23/24,5:00:00 AM,0
2/23/24,6:00:00 AM,0
2/23/24,7:00:00 AM,37
2/23/24,8:00:00 AM,83
2/23/24,9:00:00 AM,156
2/23/24,10:00:00 AM,181
2/23/24,11:00:00 AM,249
2/23/24,12:00:00 PM,163
2/23/24,1:00:00 PM,218
2/23/24,2:00:00 PM,167
2/23/24,3:00:00 PM,118
2/23/24,4:00:00 PM,59
2/23/24,5:00:00 PM,17
2/23/24,6:00:00 PM,0
2/23/24,7:00:00 PM,0
2/23/24,8:00:00 PM,0
2/23/24,9:00:00 PM,0
2/23/24,10:00:00 PM,0
2/23/24,11:00:00 PM,0
2/24/24,12:00:00 AM,0
2/24/24,1:00:00 AM,0
2/24/24,2:00:00 AM,0
2/24/24,3:00:00 AM,0
2/24/24,4:00:00 AM,0
2/24/24,5:00:00 AM,0
2/24/24,6:00:00 AM,1
2/24/24,7:00:00 AM,7
2/24/24,8:00:00 AM,43
2/24/24,9:00:00 AM,114
2/24/24,10:00:00 AM,391
2/24/24,11:00:00 AM,527
2/24/24,12:00:00 PM,579
2/24/24,1:00:00 PM,578
2/24/24,2:00:00 PM,525
2/24/24,3:00:00 PM,369
2/24/24,4:00:00 PM,127
2/24/24,5:00:00 PM,23
2/24/24,6:00:00 PM,0
2/24/24,7:00:00 PM,0
2/24/24,8:00:00 PM,0
2/24/24,9:00:00 PM,0
2/24/24,10:00:00 PM,0
2/24/24,11:00:00 PM,0
2/25/24,12:00:00 AM,0
2/25/24,1:00:00 AM,0
2/25/24,2:00:00 AM,0
2/25/24,3:00:00 AM,0
2/25/24,4:00:00 AM,0
2/25/24,5:00:00 AM,0
2/25/24,6:00:00 AM,6
2/25/24,7:00:00 AM,119
2/25/24,8:00:00 AM,305
2/25/24,9:00:00 AM,479
2/25/24,10:00:00 AM,610
2/25/24,11:00:00 AM,685
2/25/24,12:00:00 PM,700
2/25/24,1:00:00 PM,650
2/25/24,2:00:00 PM,543
2/25/24,3:00:00 PM,384
2/25/24,4:00:00 PM,204
2/25/24,5:00:00 PM,33
2/25/24,6:00:00 PM,0
2/25/24,7:00:00 PM,0
2/25/24,8:00:00 PM,0
2/25/24,9:00:00 PM,0
2/25/24,10:00:00 PM,0
2/25/24,11:00:00 PM,0
2/26/24,12:00:00 AM,0
2/26/24,1:00:00 AM,0
2/26/24,2:00:00 AM,0
2/26/24,3:00:00 AM,0
2/26/24,4:00:00 AM,0
2/26/24,5:00:00 AM,0
2/26/24,6:00:00 AM,5
2/26/24,7:00:00 AM,102
2/26/24,8:00:00 AM,270
2/26/24,9:00:00 AM,456
2/26/24,10:00:00 AM,584
2/26/24,11:00:00 AM,654
2/26/24,12:00:00 PM,672
2/26/24,1:00:00 PM,589
2/26/24,2:00:00 PM,473
2/26/24,3:00:00 PM,377
2/26/24,4:00:00 PM,221
2/26/24,5:00:00 PM,34
2/26/24,6:00:00 PM,0
2/26/24,7:00:00 PM,0
2/26/24,8:00:00 PM,0
2/26/24,9:00:00 PM,0
2/26/24,10:00:00 PM,0
2/26/24,11:00:00 PM,0
2/27/24,12:00:00 AM,0
2/27/24,1:00:00 AM,0
2/27/24,2:00:00 AM,0
2/27/24,3:00:00 AM,0
2/27/24,4:00:00 AM,0
2/27/24,5:00:00 AM,0
2/27/24,6:00:00 AM,5
2/27/24,7:00:00 AM,98
2/27/24,8:00:00 AM,279
2/27/24,9:00:00 AM,415
2/27/24,10:00:00 AM,561
2/27/24,11:00:00 AM,611
2/27/24,12:00:00 PM,416
2/27/24,1:00:00 PM,298
2/27/24,2:00:00 PM,121
2/27/24,3:00:00 PM,41
2/27/24,4:00:00 PM,19
2/27/24,5:00:00 PM,2
2/27/24,6:00:00 PM,0
2/27/24,7:00:00 PM,0
2/27/24,8:00:00 PM,0
2/27/24,9:00:00 PM,0
2/27/24,10:00:00 PM,0
2/27/24,11:00:00 PM,0
2/28/24,12:00:00 AM,0
2/28/24,1:00:00 AM,0
2/28/24,2:00:00 AM,0
2/28/24,3:00:00 AM,0
2/28/24,4:00:00 AM,0
2/28/24,5:00:00 AM,0
2/28/24,6:00:00 AM,1
2/28/24,7:00:00 AM,18
2/28/24,8:00:00 AM,51
2/28/24,9:00:00 AM,116
2/28/24,10:00:00 AM,149
2/28/24,11:00:00 AM,212
2/28/24,12:00:00 PM,108
2/28/24,1:00:00 PM,131
2/28/24,2:00:00 PM,64
2/28/24,3:00:00 PM,44
2/28/24,4:00:00 PM,34
2/28/24,5:00:00 PM,6
2/28/24,6:00:00 PM,0
2/28/24,7:00:00 PM,0
2/28/24,8:00:00 PM,0
2/28/24,9:00:00 PM,0
2/28/24,10:00:00 PM,0
2/28/24,11:00:00 PM,0
3/5/24,12:00:00 AM,0
3/5/24,1:00:00 AM,0
3/5/24,2:00:00 AM,0
3/5/24,3:00:00 AM,0
3/5/24,4:00:00 AM,0
3/5/24,5:00:00 AM,0
3/5/24,6:00:00 AM,1
3/5/24,7:00:00 AM,14
3/5/24,8:00:00 AM,47
3/5/24,9:00:00 AM,79
3/5/24,10:00:00 AM,104
3/5/24,11:00:00 AM,93
3/5/24,12:00:00 PM,254
3/5/24,1:00:00 PM,190
3/5/24,2:00:00 PM,178
3/5/24,3:00:00 PM,132
3/5/24,4:00:00 PM,97
3/5/24,5:00:00 PM,17
3/5/24,6:00:00 PM,0
3/5/24,7:00:00 PM,0
3/5/24,8:00:00 PM,0
3/5/24,9:00:00 PM,0
3/5/24,10:00:00 PM,0
3/5/24,11:00:00 PM,0
3/6/24,12:00:00 AM,0
3/6/24,1:00:00 AM,0
3/6/24,2:00:00 AM,0
3/6/24,3:00:00 AM,0
3/6/24,4:00:00 AM,0
3/6/24,5:00:00 AM,0
3/6/24,6:00:00 AM,2
3/6/24,7:00:00 AM,35
3/6/24,8:00:00 AM,77
3/6/24,9:00:00 AM,81
3/6/24,10:00:00 AM,115
3/6/24,11:00:00 AM,94
3/6/24,12:00:00 PM,111
3/6/24,1:00:00 PM,87
3/6/24,2:00:00 PM,51
3/6/24,3:00:00 PM,64
3/6/24,4:00:00 PM,43
3/6/24,5:00:00 PM,10
3/6/24,6:00:00 PM,0
3/6/24,7:00:00 PM,0
3/6/24,8:00:00 PM,0
3/6/24,9:00:00 PM,0
3/6/24,10:00:00 PM,0
3/6/24,11:00:00 PM,0
3/7/24,12:00:00 AM,0
3/7/24,1:00:00 AM,0
3/7/24,2:00:00 AM,0
3/7/24,3:00:00 AM,0
3/7/24,4:00:00 AM,0
3/7/24,5:00:00 AM,0
3/7/24,6:00:00 AM,4
3/7/24,7:00:00 AM,127
3/7/24,8:00:00 AM,217
3/7/24,9:00:00 AM,297
3/7/24,10:00:00 AM,330
3/7/24,11:00:00 AM,484
3/7/24,12:00:00 PM,517
3/7/24,1:00:00 PM,297
3/7/24,2:00:00 PM,281
3/7/24,3:00:00 PM,196
3/7/24,4:00:00 PM,66
3/7/24,5:00:00 PM,12
3/7/24,6:00:00 PM,0
3/7/24,7:00:00 PM,0
3/7/24,8:00:00 PM,0
3/7/24,9:00:00 PM,0
3/7/24,10:00:00 PM,0
3/7/24,11:00:00 PM,0
3/8/24,12:00:00 AM,0
3/8/24,1:00:00 AM,0
3/8/24,2:00:00 AM,0
3/8/24,3:00:00 AM,0
3/8/24,4:00:00 AM,0
3/8/24,5:00:00 AM,0
3/8/24,6:00:00 AM,13
3/8/24,7:00:00 AM,100
3/8/24,8:00:00 AM,316
3/8/24,9:00:00 AM,515
3/8/24,10:00:00 AM,685
3/8/24,11:00:00 AM,740
3/8/24,12:00:00 PM,744
3/8/24,1:00:00 PM,621
3/8/24,2:00:00 PM,455
3/8/24,3:00:00 PM,240
3/8/24,4:00:00 PM,113
3/8/24,5:00:00 PM,28
3/8/24,6:00:00 PM,0
3/8/24,7:00:00 PM,0
3/8/24,8:00:00 PM,0
3/8/24,9:00:00 PM,0
